"Brake.Trq_WB_FL","Brake.Trq_WB_FR","Brake.Trq_WB_RL","Brake.Trq_WB_RR","Car.Distance","Car.LongSlipFL","Car.LongSlipFR","Car.LongSlipRL","Car.LongSlipRR","Time"
"C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
"Nm","Nm","Nm","Nm","m","","","","","s"
0,0,0,0,22.36838772,0.01453762595,0.01550032198,0.008900396526,0.00917330943,2.701
0,0,0,0,22.53572141,0.01448345836,0.01541084237,0.009019352496,0.009294421412,2.711
0,0,0,0,22.70350768,0.01447400264,0.01538394485,0.009162840433,0.009445588104,2.721
0,0,0,0,22.87174961,0.01444480009,0.01533870958,0.009289494716,0.009578957222,2.731
0,0,0,0,23.04045034,0.01437340584,0.01524916757,0.00938218087,0.009677271359,2.741
0,0,0,0,23.20961187,0.01425879356,0.0151162874,0.009439981543,0.009739447385,2.751
0,0,0,0,23.3792349,0.0141100809,0.01495088544,0.00947013963,0.009771308862,2.761
0,0,0,0,23.54931894,0.01394413877,0.01477013063,0.009479145519,0.009782107547,2.771
0,0,0,0,23.71986267,0.01378283557,0.01459462568,0.009473449551,0.009777769446,2.781
0,0,0,0,23.89086429,0.01362407114,0.01442013588,0.009460922331,0.009766149335,2.791
0,0,0,0,24.06232186,0.01345197018,0.01424902212,0.009445786476,0.009750658646,2.801
0,0,0,0,24.23423352,0.01327454858,0.01407967601,0.009428244084,0.009731457569,2.811
