Brake.Trq_WB_FL,Brake.Trq_WB_FR,Brake.Trq_WB_RL,Brake.Trq_WB_RR,Car.Distance,Car.LongSlipFL,Car.LongSlipFR,Car.LongSlipRL,Car.LongSlipRR,Time,,,
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,,,
Nm,Nm,Nm,Nm,m,,,,,s,,,
0,0,0,0,20.72490752,0.026634062,0.029655267,0.014135505,0.014571623,2.601,,,
0,0,0,0,20.88629961,0.026612187,0.029633572,0.01412727,0.014562892,2.611,,,
0,0,0,0,21.04839129,0.026588297,0.029609635,0.014118131,0.014553256,2.621,,,
0,0,0,0,21.21118252,0.026562313,0.029584501,0.014108343,0.014542988,2.631,,,
0,0,0,0,21.37467327,0.026534367,0.029557593,0.014098092,0.01453228,2.641,,,
0,0,0,0,21.53886229,0.023759475,0.026664345,0.012118832,0.012503294,2.651,,,
0,0,0,0,21.70371027,0.019244377,0.020942183,0.010794804,0.01113128,2.661,,,
0,0,0,0,21.8691381,0.016846452,0.018084385,0.009675442,0.009971731,2.671,,,
0,0,0,0,22.03508304,0.015433311,0.0165467,0.009098225,0.00937649,2.681,,,
0,0,0,0,22.2015061,0.014775084,0.015797714,0.008887105,0.009160327,2.691,,,
0,0,0,0,22.36838772,0.014537626,0.015500322,0.008900397,0.009173309,2.701,,,
0,0,0,0,22.53572141,0.014483458,0.015410842,0.009019352,0.009294421,2.711,,,
0,0,0,0,22.70350768,0.014474003,0.015383945,0.00916284,0.009445588,2.721,,,
0,0,0,0,22.87174961,0.0144448,0.01533871,0.009289495,0.009578957,2.731,,,
0,0,0,0,23.04045034,0.014373406,0.015249168,0.009382181,0.009677271,2.741,,,
0,0,0,0,23.20961187,0.014258794,0.015116287,0.009439982,0.009739447,2.751,,,
0,0,0,0,23.3792349,0.014110081,0.014950885,0.00947014,0.009771309,2.761,,,
0,0,0,0,23.54931894,0.013944139,0.014770131,0.009479146,0.009782108,2.771,,,
0,0,0,0,23.71986267,0.013782836,0.014594626,0.00947345,0.009777769,2.781,,,
0,0,0,0,23.89086429,0.013624071,0.014420136,0.009460922,0.009766149,2.791,,,
